SV_ID,Property_Name,BHK,Property_Type,City,USPs,OTA_Platform,Current_Title,Valid_Listing_URL
75,Princess,3,Villa,Lonavala,"Infinity Pool, Lawn",Agoda,StayVista's Princess - A Villa with Infinity Pool & Breathtaking Views,https://www.agoda.com/en-in/princess-villa-by-vista-rooms/hotel/pune-in.html
75,Princess,3,Villa,Lonavala,"Infinity Pool, Lawn",Airbnb,3BR |Pool+Lawn|StayVista| Princess Villa@Lonavala,https://www.airbnb.co.in/rooms/1217140775649212419
75,Princess,3,Villa,Lonavala,"Infinity Pool, Lawn",Booking.com,StayVista's Princess - A Villa with Infinity Pool & Breathtaking Views,https://www.booking.com/hotel/in/princess-villa-lonavala.html
75,Princess,3,Villa,Lonavala,"Infinity Pool, Lawn",MakeMyTrip,StayVista | Villa Princess,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901091614188386&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
57,Santoni Farms,3,Villa,Karjat,"Pool, River View, Orchard",Agoda,"StayVista's Santoni Farms - Riverside Bliss with Pool, Orchard & Activities",https://www.agoda.com/en-in/santoni-farms/hotel/karjat-in.html
57,Santoni Farms,3,Villa,Karjat,"Pool, River View, Orchard",Airbnb,StayVista at Santoni Farms - 3 BR,https://www.airbnb.co.in/rooms/17819849
57,Santoni Farms,3,Villa,Karjat,"Pool, River View, Orchard",Booking.com,"StayVista's Santoni Farms - Riverside Bliss with Pool, Orchard & Activities",https://www.booking.com/hotel/in/santoni-farms-karjat.html
57,Santoni Farms,3,Villa,Karjat,"Pool, River View, Orchard",MakeMyTrip,StayVista | Santoni Farms Pool Villa,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201812311710071317&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
29,Serene,3,Villa,Karjat,Plunge Pool,Agoda,Serene Villa by StayVista - A Hill-View Villa with Plunge pool,https://www.agoda.com/en-in/serene-by-vista-rooms/hotel/karjat-in.html
29,Serene,3,Villa,Karjat,Plunge Pool,Airbnb,StayVista at Serene w/ Pool - Karjat,https://www.airbnb.co.in/rooms/1588364350289160966
