SV_ID,Property_Name,BHK,Property_Type,City,Primary_USP,OTA_Platform,Current_Title,Current_Len,Suggested_Title,Suggested_Len,Limit,Status,Change_Rationale,Listing_URL
75,Princess,3,Villa,Lonavala,Infinity Pool,Agoda,StayVista's Princess - A Villa with Infinity Pool & Breathtaking Views,70,3-Bedroom Princess Villa in Lonavala,36,50,ready_to_sync,Fixed length overflow: was 70/50 chars (truncated in search cards),https://www.agoda.com/en-in/princess-villa-by-vista-rooms/hotel/pune-in.html
75,Princess,3,Villa,Lonavala,Infinity Pool,Airbnb,3BR |Pool+Lawn|StayVista| Princess Villa@Lonavala,49,3BHK Princess • Infinity Pool & Lawn,36,44,ready_to_sync,"Fixed length overflow: was 49/44 chars (truncated in search cards); Removed non-compliant/cluttered characters ('|', '@', '+'); Removed redundant brand name on Airbnb (saves space for top USP)",https://www.airbnb.co.in/rooms/1217140775649212419
75,Princess,3,Villa,Lonavala,Infinity Pool,Booking.com,StayVista's Princess - A Villa with Infinity Pool & Breathtaking Views,70,Princess Villa - 3BHK with Infinity Pool,40,50,ready_to_sync,Fixed length overflow: was 70/50 chars (truncated in search cards),https://www.booking.com/hotel/in/princess-villa-lonavala.html
75,Princess,3,Villa,Lonavala,Infinity Pool,MakeMyTrip,StayVista | Villa Princess,26,3BHK Princess Villa • Infinity Pool • Lonavala,46,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+'); Added prominent BHK prefix for domestic filter matching",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901091614188386&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
57,Santoni Farms,3,Villa,Karjat,Pool,Agoda,"StayVista's Santoni Farms - Riverside Bliss with Pool, Orchard & Activities",75,"3-Bedroom Santoni Farms Villa, Karjat w/ Pool",45,50,ready_to_sync,Fixed length overflow: was 75/50 chars (truncated in search cards),https://www.agoda.com/en-in/santoni-farms/hotel/karjat-in.html
57,Santoni Farms,3,Villa,Karjat,Pool,Airbnb,StayVista at Santoni Farms - 3 BR,33,3BHK Santoni Farms • Pool & River View,38,44,ready_to_sync,Removed redundant brand name on Airbnb (saves space for top USP),https://www.airbnb.co.in/rooms/17819849
57,Santoni Farms,3,Villa,Karjat,Pool,Booking.com,"StayVista's Santoni Farms - Riverside Bliss with Pool, Orchard & Activities",75,Santoni Farms Villa by StayVista - 3BHK w/ Pool,47,50,ready_to_sync,Fixed length overflow: was 75/50 chars (truncated in search cards),https://www.booking.com/hotel/in/santoni-farms-karjat.html
57,Santoni Farms,3,Villa,Karjat,Pool,MakeMyTrip,StayVista | Santoni Farms Pool Villa,36,3BHK Santoni Farms Villa • Pool • Karjat,40,50,ready_to_sync,"Removed non-compliant/cluttered characters ('|', '@', '+'); Added prominent BHK prefix for domestic filter matching",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201812311710071317&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
29,Serene,3,Villa,Karjat,Plunge Pool,Agoda,Serene Villa by StayVista - A Hill-View Villa with Plunge pool,62,"3-Bedroom Serene Villa, Karjat w/ Plunge Pool",45,50,ready_to_sync,Fixed length overflow: was 62/50 chars (truncated in search cards),https://www.agoda.com/en-in/serene-by-vista-rooms/hotel/karjat-in.html
29,Serene,3,Villa,Karjat,Plunge Pool,Airbnb,StayVista at Serene w/ Pool - Karjat,36,3BHK Serene Villa w/ Plunge Pool,32,44,ready_to_sync,Removed redundant brand name on Airbnb (saves space for top USP),https://www.airbnb.co.in/rooms/1588364350289160966
